Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][1300/1856]: lr: 0.000303, aux_loss_cls: 0.121661, aux_loss_reg: 0.555684, rpn_loc_loss: 1.201947, rpn_cls_loss: 0.585337, rpn_dir_loss: 0.138595, loss_cls: 0.150122, loss: 2.753346
epoch[1][1320/1856]: lr: 0.000303, aux_loss_cls: 0.105192, aux_loss_reg: 0.525410, rpn_loc_loss: 1.191485, rpn_cls_loss: 0.566620, rpn_dir_loss: 0.136008, loss_cls: 0.161390, loss: 2.686105
epoch[1][1340/1856]: lr: 0.000303, aux_loss_cls: 0.104866, aux_loss_reg: 0.598985, rpn_loc_loss: 1.249187, rpn_cls_loss: 0.583951, rpn_dir_loss: 0.139348, loss_cls: 0.148899, loss: 2.825235
epoch[1][1360/1856]: lr: 0.000303, aux_loss_cls: 0.109650, aux_loss_reg: 0.536960, rpn_loc_loss: 1.126918, rpn_cls_loss: 0.580704, rpn_dir_loss: 0.136555, loss_cls: 0.171398, loss: 2.662184
epoch[1][1380/1856]: lr: 0.000304, aux_loss_cls: 0.097284, aux_loss_reg: 0.510391, rpn_loc_loss: 1.139136, rpn_cls_loss: 0.571114, rpn_dir_loss: 0.136202, loss_cls: 0.153726, loss: 2.607853
epoch[1][1400/1856]: lr: 0.000304, aux_loss_cls: 0.106159, aux_loss_reg: 0.506179, rpn_loc_loss: 1.125833, rpn_cls_loss: 0.570247, rpn_dir_loss: 0.135674, loss_cls: 0.163992, loss: 2.608084
epoch[1][1420/1856]: lr: 0.000304, aux_loss_cls: 0.109985, aux_loss_reg: 0.547834, rpn_loc_loss: 1.158619, rpn_cls_loss: 0.585625, rpn_dir_loss: 0.136257, loss_cls: 0.152350, loss: 2.690670
epoch[1][1440/1856]: lr: 0.000304, aux_loss_cls: 0.100977, aux_loss_reg: 0.553769, rpn_loc_loss: 1.100149, rpn_cls_loss: 0.578604, rpn_dir_loss: 0.137070, loss_cls: 0.160456, loss: 2.631026
epoch[1][1460/1856]: lr: 0.000304, aux_loss_cls: 0.103385, aux_loss_reg: 0.555367, rpn_loc_loss: 1.206763, rpn_cls_loss: 0.586758, rpn_dir_loss: 0.138043, loss_cls: 0.152534, loss: 2.742850
epoch[1][1480/1856]: lr: 0.000304, aux_loss_cls: 0.099074, aux_loss_reg: 0.488597, rpn_loc_loss: 1.124442, rpn_cls_loss: 0.562820, rpn_dir_loss: 0.138951, loss_cls: 0.171468, loss: 2.585351
epoch[1][1500/1856]: lr: 0.000304, aux_loss_cls: 0.095634, aux_loss_reg: 0.518497, rpn_loc_loss: 1.256988, rpn_cls_loss: 0.565563, rpn_dir_loss: 0.136546, loss_cls: 0.151809, loss: 2.725037
epoch[1][1520/1856]: lr: 0.000304, aux_loss_cls: 0.120428, aux_loss_reg: 0.563485, rpn_loc_loss: 1.101930, rpn_cls_loss: 0.588041, rpn_dir_loss: 0.137437, loss_cls: 0.163428, loss: 2.674749
epoch[1][1540/1856]: lr: 0.000304, aux_loss_cls: 0.113882, aux_loss_reg: 0.526799, rpn_loc_loss: 1.206843, rpn_cls_loss: 0.588375, rpn_dir_loss: 0.140807, loss_cls: 0.162225, loss: 2.738931
